default_flag,disposition,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ttv_flag,st_teff,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,sy_refname,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
0.0,CONFIRMED,0.0,0.14285714285714285,Transit,0.35714285714285715,K2,Published Confirmed,0.0,0.0004952054275054919,1.0610759493670886e-07,0.9999998468189963,0.5,0.0018053585256526158,0.0006831201410312913,0.9995458254084967,0.0,0.0018044426662671316,0.0006830412447517906,0.9995458339438339,0.0,0.0,0.07205269829771822,0.0,0.009967275297443751,0.005476944444444445,0.9977774390243903,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.12846128418215885,0.8721356268707535,0.016955046842916432,0.00037243452427647157,0.9994590808991415,0.34037550709766856,0.008841732979664015,0.9911582670203359,0.4816562271211259,0.015748031496062985,0.984251968503937,0.3501269494321558,0.005976857607344361,0.9940231423926557
0.0,CONFIRMED,0.0,0.14285714285714285,Transit,0.35714285714285715,K2,Published Confirmed,0.0,0.0004951679229535648,9.49367088607595e-08,0.999999861111111,0.5,0.0016891541409656374,0.00030850594975760247,0.9997004357298475,0.0,0.0016882971159828551,0.00030847023956532475,0.9997004413919413,0.0,0.0,0.07347881202462876,0.0,0.009635999528801979,0.0030555555555555557,0.9983739837398374,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.12846128418215885,0.8721356268707535,0.016955046842916432,0.00037243452427647157,0.9994590808991415,0.34037550709766856,0.008841732979664015,0.9911582670203359,0.4816562271211259,0.015748031496062985,0.984251968503937,0.3501269494321558,0.005976857607344361,0.9940231423926557
1.0,CONFIRMED,0.0,0.14285714285714285,Transit,0.35714285714285715,K2,Published Confirmed,0.0,0.0004951679229535648,9.49367088607595e-08,0.9999998655913979,0.5,0.0020115624990737256,0.00024700308505949757,0.9996947440087145,0.0,0.0020105420695022695,0.0002469745616201531,0.9996947496947498,0.0,0.0,0.07347881202462876,0.0,0.011426552008481566,0.003333333333333333,0.9975609756097561,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.12846128418215885,0.8721356268707535,0.016955046842916432,0.00037243452427647157,0.9994590808991415,0.34037550709766856,0.008841732979664015,0.9911582670203359,0.4816562271211259,0.015748031496062985,0.984251968503937,0.3501269494321558,0.005976857607344361,0.9940231423926557
1.0,CANDIDATE,0.0,0.0,Transit,0.5,K2,Published Candidate,0.0,2.536293039785701e-05,8.860759493670886e-09,0.9999999865591398,0.5,0.0006609894686296771,0.00024239753195240193,0.9997821350762528,0.0,0.0006604492289412034,0.00024203507038775005,0.9997863247863249,0.0,0.0,0.04745834842448389,0.0,0.0076876192719990575,0.002980611111111111,0.9984721544715447,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.5005091464282557,0.41497288146610073,0.0081053772937494,0.00013165650026408744,0.9998080638500136,0.40003805356038624,0.03890362511052166,0.9610963748894783,0.46961685512080054,0.019685039370078736,0.9803149606299214,0.3871867645694038,0.056564980395907044,0.9434350196040929
0.0,CANDIDATE,0.0,0.0,Transit,0.5,K2,Published Candidate,0.0,2.536934816151375e-05,3.3227848101265823e-09,0.9999999953853047,0.5,0.000839378493907337,0.00115508373732922,0.9996709851851852,0.0,0.0008690339030017522,0.0012348728081007657,0.9996947496947498,0.0,0.0,0.049800796812749,0.0,0.007079691365296266,0.0010338333333333334,0.99917081300813,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.5005091464282557,0.41497288146610073,0.0081053772937494,0.00013165650026408744,0.9998080638500136,0.40003805356038624,0.03890362511052166,0.9610963748894783,0.46961685512080054,0.019685039370078736,0.9803149606299214,0.3871867645694038,0.056564980395907044,0.9434350196040929
1.0,CANDIDATE,0.0,0.0,Transit,0.35714285714285715,K2,Published Candidate,0.0,1.2156637664737828e-05,0.000451841689552859,0.999587678625332,0.5,0.003504652120946253,0.006326255946759646,0.9924003542010539,0.0,0.0035028747143929966,0.0063506490211334265,0.9924059649090664,0.0,0.0,0.03166877942774357,0.0,0.005418777241135587,0.0065697869911138665,0.9950451924582134,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.4779121072618326,0.42169350841427494,0.028850579882632805,0.005565501417046094,0.9927115702430173,0.9085287542215669,0.17506631299734748,0.8249336870026526,0.8771658667534371,0.22047244094488191,0.7795275590551182,0.8366487012096555,0.07353925600076504,0.926460743999235
0.0,CANDIDATE,0.0,0.0,Transit,0.5,K2,Published Candidate,0.0,7.160588784790957e-05,6.170886075949367e-09,0.9999999922939068,0.5,0.008805330792994698,0.0011666065888056411,0.9990136645424837,0.0,0.008755817598823509,0.0012348728081007657,0.9990842490842491,0.0,0.0,0.056478630930822164,0.0,0.008004217222287667,0.0014067777777777778,0.999295650406504,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.4934381539101348,0.42212035030935124,0.010312860660750229,0.0002269594063376068,0.9996706534904803,0.4004457702788103,0.03890362511052166,0.9610963748894783,0.48669974782396486,0.02755905511811024,0.9724409448818898,0.3928035670504931,0.016926460743999235,0.9830735392560007
1.0,CANDIDATE,0.0,0.0,Transit,0.5,K2,Published Candidate,0.0,7.161186424120329e-05,2.2151898734177214e-09,0.9999999968637994,0.5,0.007811828451002304,0.00030850594975760247,0.9996459694989107,0.0,0.007811479024718536,0.00029636947394418375,0.9996336996336996,0.0,0.0,0.049784498370155736,0.0,0.00871047237601602,0.0029946666666666667,0.9978830894308943,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.4934381539101348,0.42212035030935124,0.010312860660750229,0.0002269594063376068,0.9996706534904803,0.4004457702788103,0.03890362511052166,0.9610963748894783,0.48669974782396486,0.02755905511811024,0.9724409448818898,0.3928035670504931,0.016926460743999235,0.9830735392560007
1.0,CANDIDATE,0.0,0.0,Transit,0.5714285714285714,K2,Published Candidate,0.0,1.1931672383604569e-05,3.1645569620253168e-09,0.9999999955197132,0.5,0.00042015810393837094,0.00039665050683120316,0.9992919389978214,0.0,0.000422807983369732,0.00039515929859224497,0.9992979242979242,0.0,0.0,0.059097778475632017,0.0,0.002344210154317352,0.0031666666666666666,0.9971544715447155,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.47209419402769215,0.43035012218016166,0.015570122468460396,0.007225842323878967,0.9914478997831707,0.7338900931632701,0.17506631299734748,0.8249336870026526,0.6467095094769382,0.03543307086614173,0.9645669291338583,0.48726281060584214,0.027192462428787836,0.9728075375712121
1.0,CANDIDATE,0.0,0.0,Transit,0.5714285714285714,K2,Published Candidate,0.0,0.00012550354343257114,6.329113924050633e-08,0.9999999059139785,0.5,0.0009666600468917194,0.00039665050683120316,0.9990196078431373,0.0,0.000962430025715431,0.00039515929859224497,0.9990231990231991,0.0,0.0,0.059097778475632017,0.0,0.0056308163505713275,0.002277777777777778,0.999390243902439,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.4696384272585675,0.4323485101268901,0.020486030737220176,0.0004182941126037546,0.9993919859970255,0.5780064011524793,0.16003536693191864,0.8399646330680813,0.6493939640445783,0.03543307086614173,0.9645669291338583,0.5642580210848255,0.019651907812948264,0.9803480921870517
