koi_period,koi_prad,koi_insol,koi_teq,koi_duration,koi_depth,koi_steff,koi_srad,koi_slogg,ra,dec,koi_pdisposition
2.243380573,1.99,107.6,822.0,1.1196,821.7,4149.0,0.564,4.698,285.17621,50.149818,1
10.405998015,11.23,113.94,833.0,6.5036,14489.0,5746.0,0.924,4.393,289.23553,50.241001,0
2.337437946,2.34,311.16,1070.0,1.9982,971.2,5005.0,0.765,4.595,293.83331,50.23035,1
7.2406612,19.45,68.63,734.0,0.558,556.4,5005.0,0.765,4.595,293.83331,50.23035,1
3.43591631,0.55,617.61,1272.0,3.133,23.2,5779.0,1.087,4.339,287.88733,46.276241,1
11.59822233,2.65,5.82,396.0,2.5237,2804.5,3688.0,0.473,4.79,296.22195,50.28722,1
6.575315881,5.31,251.38,1015.0,4.3084,2793.3,5992.0,0.989,4.415,290.09805,50.321609,1
7.275040844,4.86,113.64,833.0,7.5377,3001.0,5485.0,0.867,4.556,295.45529,50.49456,1
19.27153892,1.93,5.66,393.0,2.7594,1219.8,4077.0,0.56,4.702,293.97336,50.53191,1
10.06524317,1.91,13.43,488.0,1.369,1053.3,4077.0,0.56,4.702,293.97336,50.53191,1
12.3935651,2.66,49.68,677.0,3.8896,916.6,5557.0,0.75,4.603,296.02133,50.56778,1
43.84439721,2.87,18.77,531.0,6.802,615.2,5854.0,1.012,4.406,300.86398,44.337551,1
3.341913228,21.55,268.67,1032.0,3.813,725.3,5295.0,0.811,4.551,292.31595,38.27029,0
1.626630225,32.43,1355.88,1547.0,2.1145,1620.6,5735.0,0.973,4.41,294.36819,38.31028,0
2.711504086,3.12,960.79,1420.0,3.0099,837.5,6214.0,1.076,4.442,291.65353,38.494659,1
7.21203748,3.32,260.58,1025.0,4.0491,950.4,6214.0,1.076,4.442,291.65353,38.494659,1
14.1798187,1.88,60.35,711.0,2.505,459.9,5799.0,0.878,4.539,291.0448,51.321671,0
8.47237911,2.59,75.44,751.0,2.7245,1123.5,5354.0,0.788,4.587,296.36652,51.319519,1
60.4189369,2.36,5.49,390.0,5.039,931.3,5354.0,0.788,4.587,296.36652,51.319519,1
12.611904345,7.4,76.15,753.0,5.1497,6105.6,5795.0,0.919,4.508,289.11221,51.737381,1
1.433769925,46.58,3209.29,1920.0,1.8868,1976.3,6017.0,1.339,4.22,290.84369,37.728828,0
10.31872301,28.59,139.26,876.0,3.836,871.7,5927.0,1.06,4.409,291.84891,37.713501,0
2.539183147,2.06,743.09,1332.0,2.4282,382.1,5519.0,1.062,4.35,291.43997,37.905659,1
6.770300385,2.77,102.87,812.0,2.0844,1304.0,5653.0,0.679,4.656,290.87051,38.273628,1
0.444291966,27.51,2706.26,1836.0,2.0792,10967.0,5255.0,0.636,4.678,290.99689,38.28492,0
10.181584004,7.73,102.91,812.0,3.5089,5741.1,5988.0,0.836,4.541,291.28195,38.241669,1
20.06036336,1.96,4.0,361.0,3.3203,1494.7,3950.0,0.493,4.754,286.07913,39.27832,1
46.1842039,1.83,1.32,273.0,4.758,1394.7,3950.0,0.493,4.754,286.07913,39.27832,1
23.9800854,1.31,41.94,649.0,5.351,104.0,5854.0,1.012,4.406,300.86398,44.337551,1
7.82502168,1.2,14.05,494.0,2.186,520.8,3950.0,0.493,4.754,286.07913,39.27832,1
3.895936525,7.34,241.62,1005.0,2.3111,8544.8,5557.0,0.774,4.592,294.65524,39.308361,1
22.36646466,2.32,19.45,536.0,5.228,986.8,5395.0,0.734,4.615,294.71063,39.52174,1
1.625522174,9.73,1467.41,1579.0,2.38963,7969.0,5539.0,1.106,4.322,293.87192,38.422939,1
19.620346923,13.6,40.39,643.0,2.0038,21725.0,5710.0,0.905,4.492,293.81619,38.563568,1
7.544039,17.47,116.46,838.0,6.222,322.6,5657.0,0.824,4.567,293.94116,38.601101,0
9.02930689,2.57,77.75,757.0,3.1449,1019.8,5349.0,0.82,4.526,290.33362,38.72823,1
10.328035714,13.28,119.31,843.0,7.7915,16918.0,5627.0,1.024,4.359,287.69675,38.886452,0
143.2063047,8.9,2.14,308.0,8.9302,10566.0,5485.0,0.867,4.556,285.28363,38.947281,1
6.164876,0.79,256.35,1021.0,3.262,55.8,5854.0,1.012,4.406,300.86398,44.337551,1
60.32494216,12.19,6.77,411.0,6.6188,20280.0,5485.0,0.867,4.556,285.28363,38.947281,1
29.1598615,1.91,17.85,524.0,4.803,488.0,5485.0,0.867,4.556,285.28363,38.947281,1
1.540397253,25.69,1105.68,1470.0,2.1541,816.1,5663.0,0.915,4.53,286.92639,38.921631,0
2.99025443,1.7,168.45,918.0,5.414,589.2,4667.0,0.731,4.578,287.74881,38.92955,0
1.594745374,11.3,1329.42,1539.0,1.9604,15044.0,5934.0,0.893,4.491,285.21381,39.027481,1
4.783002698,2.5,145.48,886.0,2.335,1008.7,5170.0,0.807,4.574,287.09399,39.060719,1
20.50588921,3.41,17.06,518.0,4.0595,2105.5,4905.0,0.761,4.544,289.31543,39.153278,1
3.340218842,2.03,43.73,656.0,1.9104,1632.6,3950.0,0.493,4.754,286.07913,39.27832,1
2.507089906,30.26,730.47,1326.0,2.0067,1339.2,5926.0,0.939,4.506,295.37805,40.493401,0
18.64932728,3.12,57.13,701.0,4.4056,893.6,5775.0,1.053,4.405,290.46176,40.562462,1
4.90144976,1.7,598.74,1262.0,4.1654,140.7,5847.0,1.402,4.191,297.02826,48.208611,1
9.75192101,2.76,135.66,870.0,4.793,418.0,5775.0,1.053,4.405,290.46176,40.562462,1
38.5576546,4.02,21.71,550.0,5.794,993.0,5775.0,1.053,4.405,290.46176,40.562462,1
3.525632539,11.58,213.12,975.0,2.59959,22335.0,5150.0,0.793,4.572,290.58173,40.5774,1
34.84398644,7.61,16.1,511.0,2.9315,4523.6,5509.0,0.871,4.482,285.92001,39.624828,1
7.748094239,5.52,204.39,964.0,3.5957,2472.1,5973.0,1.085,4.439,294.4899,39.771439,1
23.96793669,1.8,2.77,329.0,3.827,1182.3,3747.0,0.524,4.728,283.86639,39.898079,1
8.29561738,1.82,11.39,469.0,1.3421,824.3,3747.0,0.524,4.728,283.86639,39.898079,1
8.11437482,2.1,10.55,460.0,2.2736,1558.0,3692.0,0.517,4.753,288.81201,40.033401,1
38.036729482,27.5,14.81,500.0,4.34617,82872.0,5575.0,0.932,4.521,294.14789,40.055538,0
4.64090031,30.09,421.08,1155.0,35.512,2450.6,6463.0,0.826,4.5,295.11371,40.071171,1
3.747838198,13.65,266.76,1031.0,5.0642,616.0,5514.0,0.826,4.569,291.06152,50.265129,0
14.74914825,2.89,137.91,874.0,6.0995,430.2,5847.0,1.402,4.191,297.02826,48.208611,1
21.81295996,3.38,39.33,639.0,4.3791,1175.4,5601.0,0.999,4.41,294.77686,40.15374,1
7.91936937,10.34,104.0,814.0,3.3148,15148.0,5690.0,0.776,4.588,283.53845,40.217999,0
1.028436523,72.77,3400.48,1947.0,1.8606,8098.0,6228.0,0.99,4.428,296.00699,40.295429,1
15.37562369,11.01,30.54,600.0,3.3169,15337.0,4986.0,0.833,4.496,283.25354,40.358189,1
8.10363271,2.11,52.82,687.0,3.161,887.9,4861.0,0.732,4.574,283.22141,40.421829,1
4.71510843,1.46,108.84,823.0,2.506,417.5,4861.0,0.732,4.574,283.22141,40.421829,1
6.365839713,2.44,165.33,914.0,2.9721,780.7,5776.0,0.849,4.554,291.14951,40.420521,1
5.97581754,3.86,284.25,1047.0,3.065,962.4,6108.0,0.997,4.471,294.22397,40.417858,0
2.446737317,26.25,597.19,1261.0,4.7211,1177.9,5764.0,0.863,4.548,298.96112,40.862808,0
3.04033046,8.99,257.29,1021.0,1.8411,10859.0,5035.0,0.791,4.519,299.3161,40.82238,1
15.33528675,5.0,32.67,610.0,3.897,3081.4,5251.0,0.817,4.581,292.23676,41.08588,1
7.95825328,1.06,314.15,1074.0,4.377,50.0,5847.0,1.402,4.191,297.02826,48.208611,1
31.33046135,6.5,12.61,481.0,5.176,5073.8,5251.0,0.817,4.581,292.23676,41.08588,1
3.9043425,12.28,351.05,1104.0,3.831,16228.0,5810.0,0.898,4.526,294.05676,40.549679,0
9.286358079,17.61,95.03,796.0,3.49949,44791.0,5670.0,0.821,4.523,294.74396,40.53392,0
3.951405455,31.44,388.71,1133.0,2.1862,2453.9,6046.0,0.869,4.539,295.50439,40.505489,0
23.65369415,7.89,67.65,731.0,8.2183,3341.8,5739.0,1.384,4.191,287.89713,40.637821,1
13.23352214,3.06,146.67,888.0,6.7372,504.6,5739.0,1.384,4.191,287.89713,40.637821,1
6.15560285,2.32,406.94,1146.0,4.9843,285.0,5739.0,1.384,4.191,287.89713,40.637821,1
2.090811305,1.62,1718.04,1642.0,3.388,115.9,5739.0,1.384,4.191,287.89713,40.637821,1
3.180027898,1.53,1066.86,1458.0,3.5797,120.3,5847.0,1.402,4.191,297.02826,48.208611,1
50.4467417,2.67,24.64,568.0,7.159,370.3,5739.0,1.384,4.191,287.89713,40.637821,1
11.76307164,2.35,33.99,616.0,2.9076,1037.3,4959.0,0.756,4.603,294.20215,40.66341,1
56.2279271,2.37,4.22,366.0,3.57,862.7,4959.0,0.756,4.603,294.20215,40.66341,1
2.384052875,17.06,244.87,1010.0,3.0918,1268.1,4794.0,0.701,4.58,299.64285,40.691238,0
7.953547,2.25,55.37,696.0,2.6312,875.4,4768.0,0.779,4.536,291.15878,40.750271,1
4.14451656,1.48,132.08,864.0,2.3421,391.8,4768.0,0.779,4.536,291.15878,40.750271,1
4.859386384,38.33,364.23,1114.0,2.2757,6044.3,6072.0,0.988,4.47,292.21436,40.759762,0
10.526294577,8.24,61.16,713.0,2.5211,9768.0,5386.0,0.793,4.553,293.87811,41.66177,1
4.583520948,5.39,274.98,1038.0,2.7055,3812.1,5815.0,0.877,4.54,299.18686,41.74268,1
3.76181843,2.66,372.62,1121.0,3.5176,510.6,5653.0,0.949,4.472,283.31638,41.83712,1
8.20396958,3.01,71.5,742.0,2.9667,1024.4,5015.0,0.826,4.499,286.5657,41.808399,1
14.49645186,3.01,33.48,613.0,4.016,647.5,5015.0,0.826,4.499,286.5657,41.808399,1
6.54626149,2.19,101.78,810.0,2.75,655.9,5251.0,0.817,4.581,292.23676,41.08588,1
12.71809866,2.31,23.6,562.0,3.0957,1149.4,4702.0,0.686,4.592,292.91312,41.060921,1
36.06588163,2.64,5.88,397.0,4.3246,1563.8,4702.0,0.686,4.592,292.91312,41.060921,1
4.190425659,6.21,547.9,1234.0,2.8589,2877.4,6073.0,1.135,4.392,293.49661,41.137589,1
3.709870784,4.35,415.1,1151.0,3.0694,2020.3,5727.0,0.978,4.463,283.86441,41.346458,1
16.3297527,3.75,66.08,727.0,6.271,1187.5,5878.0,0.987,4.444,288.51001,41.301769,1
27.807566216,13.84,22.24,554.0,4.21587,25391.0,5862.0,0.785,4.584,296.88821,41.396091,1
80.8723469,7.59,9.88,452.0,11.195,3604.6,5510.0,1.238,4.222,287.1543,41.565788,1
3.166465862,26.82,196.31,954.0,2.9381,4357.2,4968.0,0.704,4.575,284.86929,41.679192,0
24.99324319,2.29,60.88,712.0,5.9409,269.6,5718.0,1.317,4.181,287.36279,38.649601,1
10.35533116,2.47,86.22,777.0,3.1775,750.6,5501.0,0.918,4.462,288.9942,41.633282,1
16.08518937,3.68,33.43,613.0,3.984,1442.4,5239.0,0.826,4.523,292.10519,42.380322,1
235.9986399,10.59,0.29,188.0,8.2284,20715.0,4245.0,0.657,4.627,293.00797,42.307201,1
7.49018305,2.56,76.06,753.0,2.7297,1123.6,5103.0,0.787,4.562,291.63898,42.436321,1
36.2761238,3.03,9.29,445.0,4.7865,1572.6,5103.0,0.787,4.562,291.63898,42.436321,1
17.46087931,2.32,24.6,568.0,2.2641,812.4,5103.0,0.787,4.562,291.63898,42.436321,1
56.0560754,1.94,0.69,233.0,4.685,1626.0,3593.0,0.491,4.757,289.50848,41.812119,1
41.408316686,11.38,9.93,453.0,5.0264,22839.0,5522.0,0.747,4.586,291.76041,41.944069,1
39.74893077,14.21,21.87,552.0,7.3051,15179.0,6122.0,0.964,4.487,293.17929,41.969238,1
5.715425977,2.47,123.03,850.0,2.5242,908.1,5237.0,0.826,4.572,285.11047,42.033958,1
49.18394185,8.2,47.4,669.0,11.3364,1646.2,5626.0,2.057,3.907,294.55917,46.062328,1
20.0261412,2.28,23.14,559.0,1.611,421.2,5237.0,0.826,4.572,285.11047,42.033958,1
13.61014819,19.02,68.29,733.0,2.594,5732.9,5697.0,0.903,4.46,289.89777,42.009151,1
10.44331991,2.66,46.94,667.0,2.743,1159.8,4947.0,0.802,4.516,286.24356,42.148811,0
2.237489571,1.41,427.17,1160.0,1.8119,315.8,5265.0,0.81,4.58,290.00757,42.116459,1
